Date,Price,Rf,Open,High,Low
"Jan 01, 2002",7.911,,7.911,7.911,7.911
"Jan 02, 2002",7.89,-0.265453166,7.89,7.89,7.89
"Jan 03, 2002",7.906,0.20278834,7.906,7.906,7.906
"Jan 04, 2002",7.912,0.075891728,7.912,7.912,7.912
"Jan 05, 2002",7.907,-0.063195147,7.907,7.907,7.907
"Jan 07, 2002",7.907,0,7.907,7.907,7.907
"Jan 08, 2002",7.894,-0.164411281,7.894,7.894,7.894
"Jan 09, 2002",7.91,0.202685584,7.91,7.91,7.91
"Jan 10, 2002",7.908,-0.02528445,7.908,7.908,7.908
"Jan 11, 2002",7.956,0.606980273,7.956,7.956,7.956
"Jan 12, 2002",7.954,-0.02513826,7.954,7.954,7.954
"Jan 14, 2002",7.908,-0.578325371,7.908,7.908,7.908
"Jan 15, 2002",7.909,0.012645422,7.909,7.909,7.909
"Jan 16, 2002",7.889,-0.25287647,7.889,7.889,7.889
"Jan 17, 2002",7.895,0.076055267,7.895,7.895,7.895
"Jan 18, 2002",7.847,-0.607979734,7.847,7.847,7.847
"Jan 19, 2002",7.811,-0.458774054,7.811,7.811,7.811
"Jan 21, 2002",7.788,-0.294456536,7.788,7.788,7.788
"Jan 22, 2002",7.763,-0.321006677,7.763,7.763,7.763
"Jan 23, 2002",7.771,0.103052943,7.771,7.771,7.771
"Jan 24, 2002",7.774,0.03860507,7.774,7.774,7.774
"Jan 25, 2002",7.769,-0.064316954,7.769,7.769,7.769
"Jan 28, 2002",7.733,-0.4633801,7.733,7.733,7.733
"Jan 29, 2002",7.702,-0.400879348,7.702,7.702,7.702
"Jan 30, 2002",7.673,-0.376525578,7.673,7.673,7.673
"Jan 31, 2002",7.669,-0.052130848,7.669,7.669,7.669
"Feb 01, 2002",7.652,-0.221671665,7.652,7.652,7.652
"Feb 02, 2002",7.634,-0.235232619,7.634,7.634,7.634
"Feb 04, 2002",7.57,-0.838354729,7.57,7.57,7.57
"Feb 05, 2002",7.579,0.118890357,7.579,7.579,7.579
"Feb 06, 2002",7.564,-0.197915292,7.564,7.564,7.564
"Feb 07, 2002",7.461,-1.361713379,7.461,7.461,7.461
"Feb 08, 2002",7.388,-0.978421123,7.388,7.388,7.388
"Feb 09, 2002",7.307,-1.096372496,7.307,7.307,7.307
"Feb 11, 2002",7.313,0.082113042,7.313,7.313,7.313
"Feb 12, 2002",7.27,-0.587993983,7.27,7.27,7.27
"Feb 13, 2002",7.214,-0.770288858,7.214,7.214,7.214
"Feb 14, 2002",7.212,-0.02772387,7.212,7.212,7.212
"Feb 15, 2002",7.269,0.790349418,7.269,7.269,7.269
"Feb 16, 2002",7.238,-0.426468565,7.238,7.238,7.238
"Feb 18, 2002",7.22,-0.248687483,7.22,7.22,7.22
"Feb 19, 2002",7.236,0.221606648,7.236,7.236,7.236
"Feb 20, 2002",7.313,1.064123825,7.313,7.313,7.313
"Feb 21, 2002",7.437,1.695610557,7.437,7.437,7.437
"Feb 22, 2002",7.383,-0.726099234,7.383,7.383,7.383
"Feb 25, 2002",7.465,1.110659623,7.465,7.465,7.465
"Feb 26, 2002",7.242,-2.987273945,7.242,7.242,7.242
"Feb 27, 2002",7.297,0.759458713,7.297,7.297,7.297
"Feb 28, 2002",7.627,4.522406468,7.627,7.627,7.627
"Mar 01, 2002",7.589,-0.498229972,7.589,7.589,7.589
"Mar 02, 2002",7.448,-1.857952299,7.448,7.448,7.448
"Mar 04, 2002",7.31,-1.852846402,7.31,7.31,7.31
"Mar 05, 2002",7.351,0.560875513,7.351,7.351,7.351
"Mar 06, 2002",7.483,1.795674058,7.483,7.483,7.483
"Mar 07, 2002",7.525,0.561272217,7.525,7.525,7.525
"Mar 08, 2002",7.621,1.275747508,7.621,7.621,7.621
"Mar 09, 2002",7.579,-0.551108778,7.579,7.579,7.579
"Mar 11, 2002",7.565,-0.184720939,7.565,7.565,7.565
"Mar 12, 2002",7.558,-0.092531395,7.558,7.558,7.558
"Mar 13, 2002",7.618,0.79386081,7.618,7.618,7.618
"Mar 14, 2002",7.612,-0.07876083,7.612,7.612,7.612
"Mar 15, 2002",7.399,-2.798213347,7.399,7.399,7.399
"Mar 16, 2002",7.404,0.0675767,7.404,7.404,7.404
"Mar 18, 2002",7.488,1.13452188,7.488,7.488,7.488
"Mar 19, 2002",7.475,-0.173611111,7.475,7.475,7.475
"Mar 20, 2002",7.493,0.240802676,7.493,7.493,7.493
"Mar 21, 2002",7.462,-0.413719472,7.462,7.462,7.462
"Mar 22, 2002",7.462,0,7.462,7.462,7.462
"Mar 23, 2002",7.45,-0.160814795,7.45,7.45,7.45
"Mar 26, 2002",7.453,0.040268456,7.453,7.453,7.453
"Mar 27, 2002",7.459,0.080504495,7.459,7.459,7.459
"Mar 28, 2002",7.428,-0.415605309,7.428,7.428,7.428
"Mar 30, 2002",7.359,-0.928917609,7.359,7.359,7.359
"Apr 01, 2002",7.241,-1.603478734,7.241,7.241,7.241
"Apr 02, 2002",7.243,0.027620494,7.243,7.243,7.243
"Apr 03, 2002",7.21,-0.455612315,7.21,7.21,7.21
"Apr 04, 2002",7.143,-0.92926491,7.143,7.143,7.143
"Apr 05, 2002",7.161,0.25199496,7.161,7.161,7.161
