Dates,TRI,Rm
02-01-2002,1060.75,
03-01-2002,1072.25,1.084138581
04-01-2002,1096.2,2.233620891
07-01-2002,1100.15,0.360335705
08-01-2002,1109.9,0.886242785
09-01-2002,1102.8666,-0.633696729
10-01-2002,1098.2663,-0.417122071
11-01-2002,1088.6157,-0.878712203
14-01-2002,1109.867,1.952139768
15-01-2002,1094.2161,-1.410159956
16-01-2002,1090.5158,-0.338169033
17-01-2002,1109.267,1.719479901
18-01-2002,1093.216,-1.446991572
21-01-2002,1091.4159,-0.164660964
22-01-2002,1092.916,0.137445313
23-01-2002,1089.7668,-0.288146573
24-01-2002,1085.6654,-0.376355749
25-01-2002,1088.7664,0.285631282
28-01-2002,1071.7107,-1.566516013
29-01-2002,1072.0108,0.02800196
30-01-2002,1067.8094,-0.391917693
31-01-2002,1080.8138,1.217857794
01-02-2002,1082.0142,0.111064459
04-02-2002,1077.2626,-0.439143959
05-02-2002,1074.6117,-0.246077419
06-02-2002,1114.8788,3.747130242
07-02-2002,1112.2246,-0.238070721
08-02-2002,1125.6565,1.207660755
11-02-2002,1133.4697,0.69410162
12-02-2002,1131.4163,-0.181160555
13-02-2002,1137.0258,0.495794519
14-02-2002,1151.951,1.312652712
15-02-2002,1161.9179,0.865219094
18-02-2002,1174.8398,1.112118163
19-02-2002,1160.8661,-1.189413229
20-02-2002,1147.8942,-1.117432924
21-02-2002,1151.8008,0.340327532
22-02-2002,1165.4739,1.187106312
25-02-2002,1167.4272,0.167597061
26-02-2002,1191.4179,2.055006085
27-02-2002,1191.2175,-0.016820295
28-02-2002,1143.9875,-3.964851087
01-03-2002,1179.9985,3.147849081
04-03-2002,1179.3474,-0.055178036
05-03-2002,1180.4994,0.097681141
06-03-2002,1174.5894,-0.500635578
07-03-2002,1195.0741,1.743988154
08-03-2002,1189.6649,-0.452624653
11-03-2002,1169.8313,-1.667158542
12-03-2002,1152.4018,-1.489915683
13-03-2002,1159.013,0.573688795
14-03-2002,1161.4171,0.207426491
15-03-2002,1171.7345,0.888345798
18-03-2002,1171.2838,-0.038464345
19-03-2002,1154.1047,-1.466689798
20-03-2002,1157.5605,0.299435571
21-03-2002,1146.1412,-0.986497034
22-03-2002,1140.4485,-0.496684004
26-03-2002,1125.0215,-1.352713428
27-03-2002,1125.4547,0.038505931
28-03-2002,1131.6663,0.551919149
01-04-2002,1141.084,0.832197619
02-04-2002,1139.0802,-0.175604951
03-04-2002,1125.605,-1.182989574
04-04-2002,1148.047,1.993772238
05-04-2002,1144.0896,-0.344707142
08-04-2002,1139.1601,-0.430866603
09-04-2002,1130.5806,-0.7531426
10-04-2002,1142.4212,1.047302598
11-04-2002,1147.5388,0.447960875
12-04-2002,1150.4488,0.253586197
15-04-2002,1138.0563,-1.077188311
16-04-2002,1122.6032,-1.357850222
17-04-2002,1128.9751,0.567600377
18-04-2002,1132.8885,0.346632977
19-04-2002,1104.0897,-2.54206835
22-04-2002,1107.9529,0.349899107
23-04-2002,1109.8093,0.167552249
24-04-2002,1114.4252,0.415918302
25-04-2002,1098.069,-1.467680379
26-04-2002,1101.1797,0.283288209
29-04-2002,1077.8998,-2.114087283
30-04-2002,1088.2353,0.958855359
02-05-2002,1097.0656,0.811432969
03-05-2002,1100.7281,0.333845123
06-05-2002,1104.7419,0.364649544
07-05-2002,1114.7538,0.906265979
08-05-2002,1121.679,0.621231343
09-05-2002,1131.7155,0.894774708
10-05-2002,1120.4746,-0.993261999
13-05-2002,1123.7364,0.291108786
14-05-2002,1119.1698,-0.406376442
15-05-2002,1111.8432,-0.654645971
16-05-2002,1096.7884,-1.35403985
17-05-2002,1094.6306,-0.19673804
20-05-2002,1078.2711,-1.494522444
21-05-2002,1053.2978,-2.316050203
22-05-2002,1049.3825,-0.371718236
23-05-2002,1030.7601,-1.774605542
24-05-2002,1071.2446,3.927635538
27-05-2002,1066.9274,-0.403007866
28-05-2002,1042.9354,-2.248700333
29-05-2002,1046.7226,0.363128915
30-05-2002,1037.4699,-0.883968685
31-05-2002,1034.1026,-0.324568453
03-06-2002,1045.2263,1.0756863
04-06-2002,1050.9061,0.543403854
05-06-2002,1069.8051,1.798352869
06-06-2002,1069.9559,0.014096026
07-06-2002,1054.324,-1.460985448
10-06-2002,1075.5351,2.011819896
11-06-2002,1103.2048,2.572645002
12-06-2002,1099.2887,-0.354974888
13-06-2002,1089.2796,-0.910506949
14-06-2002,1092.1465,0.263192297
17-06-2002,1095.3655,0.294740678
18-06-2002,1081.3327,-1.281106626
19-06-2002,1069.2828,-1.114356386
20-06-2002,1076.6948,0.693174902
21-06-2002,1069.1483,-0.700894998
24-06-2002,1068.4439,-0.065884218
25-06-2002,1061.9539,-0.607425434
26-06-2002,1050.8604,-1.044631033
27-06-2002,1055.2382,0.416591966
28-06-2002,1064.6213,0.889192601
01-07-2002,1075.8432,1.054074345
02-07-2002,1075.0139,-0.077083724
03-07-2002,1077.8464,0.263484965
04-07-2002,1078.5378,0.064146431
05-07-2002,1081.812,0.303577677
08-07-2002,1090.1236,0.76830355
09-07-2002,1088.6815,-0.132287752
10-07-2002,1080.4671,-0.75452738
11-07-2002,1066.3651,-1.305176252
12-07-2002,1069.0989,0.25636623
15-07-2002,1058.7438,-0.968582046
16-07-2002,1046.8344,-1.124861369
17-07-2002,1043.3987,-0.328198997
18-07-2002,1052.4947,0.871766469
19-07-2002,1047.0367,-0.518577433
22-07-2002,1023.4371,-2.253942006
23-07-2002,1033.449,0.978262367
24-07-2002,1015.3973,-1.746743187
25-07-2002,1012.869,-0.248996132
26-07-2002,984.502,-2.800658328
29-07-2002,983.7727,-0.074078062
30-07-2002,972.7939,-1.115989496
31-07-2002,971.7907,-0.103125647
01-08-2002,970.5745,-0.125150405
02-08-2002,968.7226,-0.190804518
05-08-2002,977.347,0.890285826
06-08-2002,980.7968,0.352975965
07-08-2002,985.0518,0.433830942
08-08-2002,969.3074,-1.598332189
09-08-2002,977.8462,0.880917653
12-08-2002,985.8768,0.821253895
13-08-2002,992.1792,0.639268517
14-08-2002,985.9034,-0.632526866
16-08-2002,995.8511,1.008993376
19-08-2002,996.4612,0.061264179
20-08-2002,1005.384,0.895448814
21-08-2002,1005.2823,-0.010115538
22-08-2002,1002.4855,-0.278210409
23-08-2002,1012.1473,0.963784514
26-08-2002,1015.8594,0.366754918
27-08-2002,1004.5196,-1.116276524
28-08-2002,1002.4855,-0.202494804
29-08-2002,1004.2219,0.173209488
30-08-2002,1027.9733,2.365154554
02-09-2002,1030.9232,0.286962706
03-09-2002,1018.31,-1.223485901
04-09-2002,1024.2606,0.584360362
05-09-2002,1026.2545,0.194667256
06-09-2002,1012.6199,-1.328578827
09-09-2002,1016.0286,0.336621866
11-09-2002,1016.4734,0.043778295
12-09-2002,1020.2369,0.370250712
13-09-2002,1010.4078,-0.963413497
16-09-2002,1004.0419,-0.630032745
17-09-2002,1013.3616,0.928218235
18-09-2002,1001.852,-1.135784107
19-09-2002,994.1619,-0.767588426
20-09-2002,987.5922,-0.66082798
23-09-2002,988.3052,0.072195791
24-09-2002,984.1291,-0.422551657
25-09-2002,988.0505,0.398463982
26-09-2002,987.8977,-0.015464797
27-09-2002,994.5693,0.675333084
30-09-2002,981.0225,-1.362077032
01-10-2002,972.925,-0.8254143
03-10-2002,965.7951,-0.73283141
04-10-2002,965.7951,0
07-10-2002,972.4666,0.690777992
08-10-2002,978.6289,0.63367729
09-10-2002,972.4666,-0.629687106
10-10-2002,976.2353,0.387540302
11-10-2002,989.0691,1.314621588
14-10-2002,990.4951,0.144175973
16-10-2002,991.6664,0.118253992
17-10-2002,991.3608,-0.030816815
18-10-2002,989.6802,-0.169524557
21-10-2002,985.472,-0.425208062
22-10-2002,980.5311,-0.501373961
23-10-2002,977.4316,-0.316104201
24-10-2002,966.7624,-1.091554642
25-10-2002,951.7541,-1.552429015
28-10-2002,942.0548,-1.019097265
29-10-2002,956.5527,1.538965674
30-10-2002,957.6823,0.118090723
31-10-2002,971.6225,1.455618424
01-11-2002,971.6735,0.005248952
04-11-2002,982.6296,1.127549532
05-11-2002,982.8338,0.020780974
07-11-2002,981.1997,-0.166264123
08-11-2002,977.3697,-0.390338481
